name,screen_name,followers_count,fav_avg,rt_avg
Rep. Kurt Schrader,RepSchrader,17774,54,58
Dave Reichert,davereichert,17712,21,58
Gov. Pete Ricketts,GovRicketts,7982,85,57
Dave Loebsack,daveloebsack,5968,65,57
Senator John Hoeven,SenJohnHoeven,36756,56,57
John Katko,RepJohnKatko,6019,46,56
Tom MacArthur,RepTomMacArthur,7297,41,56
Blake Farenthold,farenthold,22389,41,55
Doug Burgum,DougBurgum,4630,107,54
David Rouzer,RepDavidRouzer,4168,23,54
Susana Martinez,Gov_Martinez,16684,38,53
French Hill,RepFrenchHill,6278,4,53
Rep Josh Gottheimer,RepJoshG,2164,111,51
Governor John Carney,JohnCarneyDE,13524,34,51
Dr. Phil Roe,DrPhilRoe,13538,21,51
Rob Woodall,RepRobWoodall,4626,27,49
Captain Clay Higgins,CaptClayHiggins,4442,124,47
Rep. Vern Buchanan,VernBuchanan,22891,4,46
Rep. Shea-Porter,RepSheaPorter,4929,65,45
Shelley Moore Capito,SenCapito,27883,102,44
Rep. Kristi Noem,RepKristiNoem,21333,53,44
Rep. Tom Cole,TomColeOK04,14207,33,44
Rep. Erik Paulsen,RepErikPaulsen,16848,32,43
Rep. Jim Costa,RepJimCosta,11670,26,43
Steve Bullock,GovernorBullock,16690,79,42
Mike Rogers,RepMikeRogersAL,17563,12,42
Rep. Greg Walden,repgregwalden,21406,51,41
Kyrsten Sinema,RepSinema,18937,45,41
Rob Portman,robportman,19504,64,39
John Culberson,CongCulberson,12760,24,39
Paul R. LePage,Governor_LePage,9613,56,37
Daniel Webster,RepWebster,14057,2,37
John Garamendi,RepGaramendi,19786,51,36
Lamar Smith,LamarSmithTX21,21146,26,36
Rep John Duncan Jr.,RepJohnDuncanJr,4024,33,35
Rep. Brett Guthrie,RepGuthrie,5692,19,34
Hal Rogers,RepHalRogers,10628,2,34
Rep. Ron Estes,RepRonEstes,571,142,33
David Young,RepDavidYoung,6634,33,31
Rep. Austin Scott,AustinScottGA08,13048,13,31
Michael F. Bennet,SenBennetCO,51410,743,30
Ann Wagner,RepAnnWagner,13197,46,30
Governor Matt Mead,GovMattMead,4196,32,29
Glenn 'GT' Thompson,CongressmanGT,15737,16,28
U.S.Rep Gonzalez,RepGonzalez,437,29,27
Frank Lucas,RepFrankLucas,7508,23,26
Rep. Bob Gibbs,RepBobGibbs,21984,15,26
Collin Peterson,collinpeterson,1348,14,26
Dana Rohrabacher,DanaRohrabacher,30848,3,26
ChuckGrassley,ChuckGrassley,125662,365,25
Rep. Pete Visclosky,RepVisclosky,9333,14,25
Rep. Mike Johnson,RepMikeJohnson,1220,73,24
Idaho Governor,ButchOtter,16878,27,24
Cong. Mike Simpson,CongMikeSimpson,8629,15,24
Rodney Frelinghuysen,USRepRodney,9217,51,22
Rep. Roger Williams,RepRWilliams,6170,36,22
Rep Robert Pittenger,reppittenger,9868,19,22
Raúl R. Labrador,Raul_Labrador,17655,76,21
Charlie Baker,MassGovernor,209707,288,20
Rep. Tim Murphy,RepTimMurphy,19914,49,20
Richard Shelby,SenShelby,41065,125,19
RepScottPerry,RepScottPerry,9582,34,18
Mike Capuano,mikecapuano,6887,72,17
David Perdue,Perduesenate,8502,67,16
Rep. John Sarbanes,RepSarbanes,14150,127,15
Brad Wenstrup,RepBradWenstrup,11966,27,14
Chuck Fleischmann,RepChuck,10850,23,14
Dave Trott,repdavetrott,6196,67,13
Senator Joe Donnelly,SenDonnelly,49089,128,12
Senator Joe Manchin,Sen_JoeManchin,73740,185,11
Rep. Robert Aderholt,Robert_Aderholt,14770,41,11
Bill Posey,congbillposey,16002,9,11
Sam Johnson,SamsPressShop,8417,19,10
Jeff Fortenberry,JeffFortenberry,14677,27,9
Dutch Ruppersberger,Call_Me_Dutch,11206,26,9
Senator Todd Young,SenToddYoung,19308,3,9
Senator Roy Blunt,RoyBlunt,61548,82,8
