name,created_at,tweet,likes
Donald J. Trump,2017-01-15 01:58:57,"Inauguration Day is turning out to be even bigger than expected. January 20th, Washington D.C. Have fun!",121802
Donald J. Trump,2017-02-16 14:39:52,"The Democrats had to come up with a story as to why they lost the election, and so badly (306), so they made up a story - RUSSIA. Fake news!",121756
Donald J. Trump,2017-03-04 11:42:59,"Just out: The same Russian Ambassador that met Jeff Sessions visited the Obama White House 22 times, and 4 times last year alone.",121726
Donald J. Trump,2017-03-08 11:12:39,I have tremendous respect for women and the many roles they serve that are vital to the fabric of our society and our economy.,121651
President Trump,2017-01-20 22:32:17,"On behalf of my entire family, THANK YOU! #InaugurationDay",121470
Donald J. Trump,2016-12-03 01:41:30,Interesting how the U.S. sells Taiwan billions of dollars of military equipment but I should not accept a congratulatory call.,121364
Donald J. Trump,2016-11-19 13:48:31,"Our wonderful future V.P. Mike Pence was harassed last night at the theater by the cast of Hamilton, cameras blazing.This should not happen!",121319
Donald J. Trump,2017-05-23 15:58:37,All civilized nations must join together to protect human life and the sacred right of our citizens to live in safety and in peace.,121158
Donald J. Trump,2017-01-17 13:05:10,"People are pouring into Washington in record numbers. Bikers for Trump are on their way. It will be a great Thursday, Friday and Saturday!",121155
Donald J. Trump,2017-02-17 23:15:56,"""One of the most effective press conferences I've ever seen!"" says Rush Limbaugh. Many agree.Yet FAKE MEDIA calls it differently! Dishonest",120934
Congressman Al Green,2017-05-17 12:07:27,"Today on the floor of the Congress of the United States of America, I will call for the Impeachment of the President between 9am &amp; 10am CST.",120785
Donald J. Trump,2017-02-11 13:33:53,"Melania and I are hosting Japanese Prime Minister Shinzo Abe and Mrs. Abe at Mar-a-Lago in Palm Beach, Fla. They are a wonderful couple!",120684
Donald J. Trump,2016-11-18 22:35:27,Will be working all weekend in choosing the great men and women who will be helping to MAKE AMERICA GREAT AGAIN!,120437
Donald J. Trump,2016-10-05 02:36:02,Mike Pence won big. We should all be proud of Mike!,118996
Donald J. Trump,2016-10-08 04:19:43,Here is my statement.,118841
Donald J. Trump,2017-02-21 23:23:13,"The so-called angry crowds in home districts of some Republicans are actually, in numerous cases, planned out by liberal activists. Sad!",118826
Donald J. Trump,2016-12-23 01:59:58,"The so-called ""A"" list celebrities are all wanting tixs to the inauguration, but look what they did for Hillary, NOTHING. I want the PEOPLE!",118677
